,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
340,340,2021-07-26,11.0,13,-0.1,▼,15.0,-0.9,-10.0,4471.0,synth_deconstruct
341,341,2021-07-26,12.2,19,0.4,▲,7.0,3.4,-25.0,5803.0,synth_fiber
341,341,2021-07-26,18.3,12,0.7,▲,-13.0,4.0,-7.0,5735.0,bite
341,341,2021-07-26,3.7,14,0.1,▲,-3.0,2.8,-11.0,4468.0,fetch
293,293,2021-07-26,11.4,4,-0.4,▼,-10.0,-3.4,1.0,985.0,flame_gland
323,323,2021-07-26,6.1,4,-0.7,▼,-5.0,-10.3,1.0,1620.0,frost_jaw
259,259,2021-07-26,4.6,4,-0.1,▼,26.0,-2.1,3.0,575.0,hunter_command
339,339,2021-07-26,4.4,21,0.2,▲,3.0,4.8,-8.0,2602.0,hunter_recovery
335,335,2021-07-26,7.2,11,0.5,▲,2.0,7.5,8.0,2023.0,maul
315,315,2021-07-26,24.0,3,-0.8,▼,-3.0,-3.2,2.0,1011.0,shock_collar
340,340,2021-07-26,18.2,6,1.1,▲,-1.0,6.4,2.0,2078.0,venom_teeth
310,310,2021-07-26,9.6,7,0.0,-,14.0,0.0,1.0,1378.0,mecha_overdrive
310,310,2021-07-26,6.8,5,0.0,-,10.0,0.0,1.0,1238.0,mecha_recharge
341,341,2021-07-26,25.8,27,-0.5,▼,14.0,-1.9,3.0,5726.0,tek_assault
341,341,2021-07-26,12.8,44,-0.4,▼,-11.0,-3.0,2.0,8718.0,tek_enhance
272,272,2021-07-26,3.1,7,-0.3,▼,0.0,-8.8,2.0,688.0,cold_snap
331,331,2021-07-26,5.8,5,0.1,▲,-3.0,1.8,-2.0,1625.0,efficient_transferral
337,337,2021-07-26,14.6,9,0.7,▲,-28.0,5.0,-1.0,2330.0,energy_amplifier
340,340,2021-07-26,6.8,15,0.1,▲,4.0,1.5,-1.0,3307.0,hyperion_thrusters
283,283,2021-07-26,4.3,3,-0.4,▼,-5.0,-8.5,1.0,703.0,morphic_transformer
294,294,2021-07-26,49.9,3,4.5,▲,3.0,9.9,0.0,913.0,primed_morphic_transformer
216,216,2021-07-26,180.1,1,3.0,▲,0.0,1.7,-4.0,530.0,primed_morphic_transformer(max)
338,338,2021-07-26,7.2,7,-0.2,▼,1.0,-2.7,-1.0,2760.0,system_reroute
270,270,2021-07-26,4.7,1,-0.2,▼,-10.0,-4.1,0.0,659.0,ammo_chain
274,274,2021-07-26,9.0,1,0.2,▲,18.0,2.3,-1.0,687.0,archgun_ace
341,341,2021-07-26,6.3,13,-0.2,▼,-1.0,-3.1,-4.0,5469.0,automatic_trigger
340,340,2021-07-26,12.5,21,0.1,▲,-3.0,0.8,7.0,6112.0,charged_bullets
341,341,2021-07-26,7.5,3,0.3,▲,-7.0,4.2,0.0,2878.0,combustion_rounds
341,341,2021-07-26,15.1,17,0.0,-,15.0,0.0,-16.0,7168.0,contamination_casing
341,341,2021-07-26,26.7,43,0.5,▲,-19.0,1.9,8.0,10085.0,critical_focus
292,292,2021-07-26,7.8,4,-0.1,▼,-12.0,-1.3,-2.0,903.0,deadly_efficiency
341,341,2021-07-26,43.4,32,0.0,-,-6.0,0.0,-8.0,11179.0,dual_rounds
340,340,2021-07-26,13.9,15,0.2,▲,12.0,1.5,1.0,5008.0,electrified_barrel
341,341,2021-07-26,8.8,33,-0.2,▼,7.0,-2.2,9.0,11058.0,hollowed_bullets
340,340,2021-07-26,13.3,17,0.2,▲,13.0,1.5,-1.0,5624.0,hypothermic_shell
